As_of_Date_In_Form_YYMMDD,Market_and_Exchange_Names,CFTC_Contract_Market_Code,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Net_Dealer,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Net_AssetManager,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Net_LevFunds,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Net_OtherReport,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Net_NonReport
250729,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,95832,19537,613,76295,36500,88299,13315,-51799,17555,47640,5245,-30085,8934,2490,34,6444,23824,24679,-855
250722,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,94422,22297,193,72125,35356,82990,13092,-47634,19500,50125,5368,-30625,9273,1972,44,7301,23647,24814,-1167
250715,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,94000,24896,1,69104,36258,87009,12297,-50751,18796,44516,4727,-25720,8793,2754,12,6039,27836,26508,1328
250708,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,89992,27779,0,62213,38868,81477,12600,-42609,17728,46507,4097,-28779,9400,3139,10,6261,28631,25717,2914
250701,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,88902,32566,0,56336,42428,77815,13642,-35387,16179,47298,4163,-31119,10984,3296,10,7688,27177,24695,2482
250624,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,82380,36258,0,46122,46682,72459,12887,-25777,15736,47453,4236,-31717,11796,3161,25,8635,27452,24715,2737
250617,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,162309,100912,8904,61397,47979,79810,12133,-31831,19310,56275,4112,-36965,10558,7637,1383,2921,28113,23635,4478
250610,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,158972,64115,13884,94857,40588,97181,5589,-56593,16625,56327,16564,-39702,8737,9235,29,-498,27489,25553,1936
250603,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,164104,49692,2286,114412,38157,103352,5189,-65195,15552,62849,10673,-47297,9964,9705,149,259,23967,26146,-2179
250527,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,162862,51585,367,111277,36925,105383,5547,-68458,16678,62383,4588,-45705,11021,7031,63,3990,25181,26285,-1104
250520,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,167788,42859,0,124929,34175,116443,5971,-82268,19646,59860,5064,-40214,11827,5153,64,6674,22213,31334,-9121
250513,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,163355,59573,0,103782,36038,104102,5419,-68064,21114,56458,5026,-35344,10496,1131,79,9365,21276,31015,-9739
250506,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,157629,76023,72,81606,39126,94182,5048,-55056,12831,44974,4420,-32143,11927,510,0,11417,24048,29872,-5824
250429,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,156444,75155,24,81289,37759,91999,4947,-54240,11464,43678,2158,-32214,13768,486,0,13282,22693,30810,-8117
250422,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,156111,67544,183,88567,36040,93261,5333,-57221,11449,50568,1913,-39119,14616,837,177,13779,23821,29827,-6006
250415,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,158622,41073,416,117549,34698,108078,4823,-73380,12380,63629,1504,-51249,13841,478,524,13363,22676,28959,-6283
250408,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,174083,18369,224,155714,33043,128649,4753,-95606,9354,72188,2442,-62834,13457,512,378,12945,20529,30748,-10219
250401,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,176291,9860,418,166431,31590,153784,4420,-122194,19122,68543,2719,-49421,19657,1171,221,18486,23892,37194,-13302
